state,act_2018_participation,act_2018_total,act_2018_english,act_2018_math,act_2018_reading,act_2018_science,sat_2018_participation,sat_2018_evidence_based_rw,sat_2018_math,sat_2018_total
Alabama,100,19.1,18.9,18.3,19.6,19.0,6,595,571,1166
Alaska,33,20.8,19.8,20.6,21.6,20.7,43,562,544,1106
Arizona,66,19.2,18.2,19.4,19.5,19.2,29,577,572,1149
Arkansas,100,19.4,19.1,18.9,19.7,19.4,5,592,576,1169
California,27,22.7,22.5,22.5,23.0,22.1,60,540,536,1076
Colorado,30,23.9,23.9,23.2,24.4,23.5,100,519,506,1025
Connecticut,26,25.6,26.0,24.8,26.1,24.9,100,535,519,1053
Delaware,17,23.2,23.7,23.1,24.5,23.4,100,505,492,998
District of Columbia,32,23.6,23.7,22.7,24.4,23.0,92,497,480,977
Florida,66,19.9,19.2,19.3,21.1,19.5,56,550,549,1099
Georgia,53,21.4,20.9,20.7,21.2,21.4,70,542,522,1064
Hawaii,89,18.9,18.2,19.0,19.1,19.0,56,480,530,1010
Idaho,36,22.3,21.9,21.6,23.2,22.1,100,508,493,1001
Illinois,43,23.9,24.1,23.4,24.2,23.4,99,513,506,1019
Indiana,32,22.5,21.9,22.3,23.1,22.2,63,542,532,1074
Iowa,68,21.8,21.0,21.2,22.5,22.0,3,634,631,1265
Kansas,71,21.6,21.0,21.1,22.3,21.5,4,633,631,1265
Kentucky,100,20.2,19.9,19.7,20.8,20.1,4,630,618,1248
Louisiana,100,19.2,19.0,18.5,19.6,19.1,4,615,595,1210
Maine,7,24.0,23.8,23.6,24.7,23.4,99,512,501,1013
Maryland,31,22.5,22.1,22.0,23.1,22.2,76,545,535,1080
Massachusetts,25,25.5,25.5,25.2,25.9,24.7,80,562,563,1125
Michigan,22,24.4,24.5,23.9,24.7,23.9,100,511,499,1011
Minnesota,99,21.3,20.2,21.4,21.7,21.4,4,643,655,1298
Mississippi,100,18.6,18.2,18.1,18.9,18.6,3,630,606,1236
Missouri,100,20.0,19.5,19.7,20.5,20.0,4,633,629,1262
Montana,100,20.0,18.7,19.9,20.7,20.0,10,606,592,1198
Nebraska,100,20.1,19.4,19.8,20.4,20.1,3,629,623,1252
Nevada,100,17.7,16.6,17.8,18.0,17.9,23,574,566,1140
New Hampshire,16,25.1,25.1,24.7,25.6,24.4,96,535,528,1063
New Jersey,31,23.7,23.8,23.6,24.0,23.0,82,547,547,1094
New Mexico,67,19.4,18.3,19.1,20.1,19.7,16,552,540,1093
New York,27,24.5,24.2,24.2,24.9,24.2,79,534,534,1068
North Carolina,100,19.1,18.0,19.3,19.5,19.2,52,554,543,1098
North Dakota,98,20.3,19.1,20.3,20.7,20.5,2,640,643,1283
Ohio,100,20.3,19.3,20.3,20.8,20.4,18,552,547,1099
Oklahoma,100,19.3,18.4,18.8,20.1,19.4,8,541,521,1062
Oregon,42,21.3,20.6,20.9,21.9,21.1,48,564,553,1117
Pennsylvania,20,23.5,23.3,23.2,24.0,23.1,70,547,539,1086
Rhode Island,15,24.2,24.4,23.6,25.0,23.5,97,513,505,1018
South Carolina,100,18.3,17.3,18.2,18.6,18.5,55,547,523,1070
South Dakota,77,21.9,20.8,21.6,22.4,22.2,3,622,618,1240
Tennessee,100,19.6,19.4,19.1,19.9,19.6,6,624,607,1231
Texas,41,20.6,19.6,20.6,21.1,20.8,66,520,512,1032
Utah,100,20.4,19.7,19.9,20.9,20.5,4,480,530,1010
Vermont,24,24.1,23.9,23.4,24.9,23.8,64,565,554,1120
Virginia,24,23.9,23.8,23.3,24.7,23.5,68,567,550,1117
Washington,24,22.2,21.4,22.2,22.7,22.0,69,543,538,1081
West Virginia,65,20.3,19.8,19.4,21.3,20.4,28,513,486,999
Wisconsin,100,20.5,19.8,20.3,20.6,20.8,3,641,653,1294
Wyoming,100,20.0,19.0,19.7,20.6,20.3,3,633,625,1257
